이름,지역,태그,주소,좋아요,찜하기,리뷰,방문했어요,조회,SNS공유,소개,상세정보,등급,편의시설,기타상세,상세텍스트,주변관광지개수,주변관광지,주변음식점개수,주변음식점,숙박업종
제주스테이비우다,서귀포시 > 서귀포시내,"#휴식 #펜션 #정원
#자연경관 #해변 #온돌방 #공공와이파이존 #주차장 #관광호텔",제주특별자치도 서귀포시 색달중앙로121번길 45,0,1,0,0,"2,024",0,"제주 남부 중문지역에 위치하며, 비우다, 채우다, 나누다, 품은 으로 나누어진 복합문화공간",,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

대부분의 객실은 방문자의 프라이버시를 보호한 개별동선의 출입구를 가지고 있으며,
모든 침구는 천연 손염색을 한 프리미엄 면으로 만들어진 침구를 계절에 맞게 제공하고 있다.
자연채광이 되는 프리미엄급 개인전용 욕실이 준비되어 있으며, 일부객실에서는 밤하늘의 별을 보며 샤워를 즐길 수도 있다.
TV 없이도 충분한 휴식을 취할 수 있도록 룸 내에서 책을 읽기 좋게 꾸며놓았다.",31,"['천제연폭포', '제주실탄사격장', '중문색달해수욕장', '중문관광단지', '박물관은 살아있다', '여미지식물원', '퍼시픽 리솜 요트투어 샹그릴라', '테디베어뮤지엄제주', '시크릿가든촬영지', '초콜릿랜드', '엉덩물계곡', '쉬리의언덕', '제주국제컨벤션센터 icc', '별내린전망대', '중문미로파크', '베릿네오름', '제주국제평화센터', '제주해양레저', '예래생태체험관', '대유ATV수렵사격랜드', '더 플래닛(THE PLANET)', '제주롯데스카이힐컨트리클럽', '중문색달해변(해산물)', '중문컨트리클럽', '푸른콩 방주영농조합법인', '씨에스호텔 프라이빗스파', '중문골프장', '천제연폭포 & 제주4.3중문면희생자위령비', '롯데호텔 브이스파', '스위트호텔 아로마', '김서프제주']",40,"['고집돌우럭(중문)', '수두리보말칼국수', '흑돼지구이집 하영', '제주미향', '국수바다 본점', '중문어촌계해녀의집', '중문덤장', '목포고을', '몽키비치클럽 Monkey Beach', '더파크뷰(신라호텔)', '중문랜드프리미엄뷔페', '이드레국수', '중문신라원', '쉬는팡가든', '천제연토속음식점', '옐로우카페 (yellow cafe)', '제주오성', '중문수원음식점', '이조은식당', '중문대들보', '델리지아레스토랑', '예지원', '색달식당', '소울키친', '하나로국밥', '돈이랑', '까망돼지', '제주중문수제맥주', '오르막가든', '사해방흑돼지', '어부와농부', '중화요리 사해방', '삼원정', '중문자연산횟집', '서민흑돼지', '달페이지', '신우성타운', '황토기와집', '갈치 카페', '카페세렌디']",펜션/민박
제주신신휴양펜션,서귀포시 > 안덕,"#휴식 #휴양펜션 #펜션
#수영장 #해수욕장",제주특별자치도 서귀포시 안덕면 평화로319번길 133,0,0,0,0,"1,252",1,산과 바다가 어우러진 제주도청 관인 9호 신신휴양펜션,연중 무휴,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

신신휴양펜션은 아늑함을 느끼실 수 있도록 설계된 휴양펜션이다.
고전적인 낭만을 살려지은 목조주택형 펜션이며, 신혼부부들을 위한 호텔식 원룸펜션도 준비되어 있으며,
대학생이나 기관단체의 엠티도 충분히 가능한 넓은 평수 펜션도 있다.
또한 많은 관광지와 제휴를 맺고있어 할인 혜택등 숙박과 함께 편리한 시설을 즐길 수 있다.

 ",12,"['소인국테마파크', '신화테마파크', '노리매공원', '플레이네이쳐', '이상한 나라의 앨리스', '점보빌리지', '화순곶자왈생태탐방숲길', '하늘여행 행글라이더체험장', '신화워터파크', '그대, 나의 뮤즈 : 클림트 to 마티스', '서광리 곶자왈생태탐방로', '액트(AC.lll.T) 볼링장']",27,"['스카이 온 파이브 다이닝', '서광춘희', '허파곶자왈화덕피자', '도희네칼국수', '꼬꼬닭한마리', '디 아일렛 라운지', '카페 베트로(CAFÉ VETRO)', '봉you', '성화정', '더 코브', '박장군', '제주선 더블랙', '신화테라스', '바온탑', 'S BAR', '카페덕수리2180', '제주신화월드 F&B', '신화돌담집', '서광보말칼국수', '제주신화월드 윤경양식당', '풀베개', '미드나잇 제주', '리치망고 신화월드점', '벨라지다', '고래라면 신화역사점', '서광리123', '서유기마라탕']",펜션/민박
제주별바람,제주시 > 한림,"#휴식 #숙소 #펜션
#휴양펜션 #주차장 #바비큐 #공공와이파이존",제주특별자치도 제주시 한림읍 한림해안로 500,0,1,0,0,"1,437",0,제주한림해안로에 위치한 곳으로 전객실 바다전망이 가능한 펜션형민박,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

별바람펜션은 제주 한림해안가에 위치해 있어서  객실에서 바다를 볼 수 있다.
-전객실 2인기준이며 초과인원은 24개월~7살 1인 5천원 / 8살~성인 1인 1만원 추가요금이 있다.
-추가이불(요세트)을 원하시면 1만원 추가요금이 있으며,
-바비큐 시설을 이용하고 싶으면 미리 예약해야한다. (유료)

 ",18,"['이랜드뮤지엄', '한림항', '한림바다체험마을', '보통청춘기록실 청춘사진관', '한림해안도로', '제주올레 15-B코스', '핸즈웍스', '갑자기 히어로즈 벽화길', '테우마을 수원리 농어촌체험마을', '귀덕연대', '라신동', '황우럭만화천국사회적협동조합', '평수포구', '아침한의원', '금성포구', '브레이브독스', '대림리선돌', '대수포구']",27,"['한림칼국수', '카페콜라', '사형제횟집', '모디카', '복단지식당', '전망대횟집', '영림흑돼지가든', '제주웅담', '미번베트남쌀국수', '보영반점', '수타명가', '옛고을갈비', '미인계 카페', '홍돈깡통연탄구이', '하우스레서피', '매기의 추억', '씨리얼', '메리앤폴', '로맨틱하드보일드', '맛있는 여가생활', '귀덕간식', '해녀세자매', '두리호집', '옥만이네', '바다제비', '한림웅담', '부원뚝배기']",펜션/민박
제주야자원,서귀포시 > 표선,"#캠핑 #언택트 #민박
#단체여행객 #주차장 #공공와이파이존 #반려동물보호소 #정원 #글램핑 #독채 #펜션",제주특별자치도 서귀포시 표선면 풍천로273번길 143-13,0,0,0,0,846,1,2만여평의 야자나무 식물원에 자리한 독립 별장형 펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

-기준인원 초과요금: 1인당 1만원(초등생 이상)
-전 객실이 편백나무 원목으로 건축되었으며 바베큐파티, 감귤체험, 산책로, 나무원두막 등 다양한 부대시설이 준비되어 있습니다.

 ",5,"['일출랜드', '세계술박물관', '제주참숯가마찜질방', '신천리(용궁올레)', '신풍리 밭담길']",2,"['아줄레주', '자연으로']",펜션/민박
제주양떼목장,제주시 > 애월,"#휴식/힐링 #동물원 #어린이
#어린이동물농장 #체험 #카페",제주특별자치도 제주시 애월읍 도치돌길 289-13,0,18,0,0,880,0,울타리가 없어 동물들과 특별한 소통이 가능한 특별한 목장,이용시간: 10:00 ~ 18:00(입장마감: 17:00),,,,"상세정보
확장됨

제주양떼목장은 울타리가 없는 특별한 목장이다. 양떼 무리가 사람들 사이를 스치며 지나가고, 잔디밭에서는 어린 아이들이 깡충거리는 토끼를 따라 쉴 새 없이 뛰어다닌다. 작은 동물들에게 먹이를 주고 있으면 어디선가 갑자기 ‘메에~’ 소리를 내며 염소가 튀어나오기도 한다. 곁에 다가온 양이나 염소를 살며시 쓰다듬으면 따뜻한 체온이 느껴진다. 제주양떼목장은 말과 사슴 등 몇몇 우리를 제외하고 목장 안 모든 공간이 열린 형태여서 사람과 동물이 뒤섞인 진귀한 풍경이 매일 같이 펼쳐진다.

제주양떼목장은 입장료를 내면 사료가 담긴 양철통을 하나씩 나눠 준다. 양철통을 들고 다니면 어떻게 알고 찾아오는지 양들이 가장 먼저 모습을 드러낸다. 털이 몽실몽실한 모습이 너무 귀여워 손이 자꾸만 먹이 쪽으로 향하지만 적절히 조절하지 않으면 한두 마리에서 먹이주기 체험이 끝나고 만다. 어찌나 먹성이 좋은지 손바닥에 사료를 올려놓으면 입술을 움찔거리며 금세 먹어버린다. 처음엔 두려워하던 아이들도 한두 번 먹이 주기를 체험하고 나면 뒤늦게 신이 나서 곳곳에 동물들을 찾아 나선다. 즐겁기는 어른도 마찬가지다. 마치 동심으로 돌아간 듯 아이들과 나란히 서서 동물에게 먹이를 주느라 바쁘다. 동물에 따라 먹이가 다른데 양과 염소는 사료를, 말이나 사슴, 토끼는 당근을 먹는다. 당근은 매표소에서 따로 구입해야 한다. 먹이 주기 체험이 끝나면 목장 안 카페 안에서 잠시 쉬어가 보자. 포토존에서 연인 또는 가족과 예쁘게 사진도 찍을 수 있다.",13,"['렛츠런파크', '9.81 파크', '테디베어사파리 테지움', '빌레못동굴', '제주힐링명상센터', '아르떼뮤지엄', '화조원', '도치돌 알파카목장', '제주안전체험관', '발이오름', '멍멍플레이스', '원동', '제주양떼목장']",4,"['어사촌도야지', '달콤한휴식', '돈카츠서황', '라운지엑스 애월점']",펜션/민박
제주엔펜션,서귀포시 > 대정,"#휴식 #숙소 #휴양펜션
#펜션 #가족 #해수욕장 #공공와이파이존 #자연경관",제주특별자치도 서귀포시 대정읍 노을해안로 614,0,0,0,0,"1,538",0,연인들이 꿈과 사랑을 간직하고 가는 곳 설레임 가득한 펜션,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨



객실에서 편안하게 내려다보는 바다전망, 파란하늘까지.
제주엔 펜션만의 아늑함으로 여러분을 기다리겠습니다.",4,"['제주올레 12코스', '제주국제예술센터', '고산일과해안도로', '신도포구']",2,"['거기제주', '노을과 어울림 카페']",펜션/민박
제주영숙,서귀포시 > 남원,"#민박 #숙소 #조식
#고향민박 #해수욕장 #수상레저 #공공와이파이존 #해변",제주특별자치도 서귀포시 남원읍 태수로26번길 17,0,0,0,0,"1,244",1,붉은벽돌과 귤나무정원 속의 시골호텔,체크인-p.m5~10시 / 체크아웃-a.m11시 / 전화문의시간-a.m8~p.m11 / 휴무 없음,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,유도 및 안내시설",,"상세정보
확장됨
제주영숙은 2인실 호텔형 민박으로 개별 현관과 테라스가 있어, 밤에는 테라스 천장을 통해 별을 볼 수 있다.
영국식 빈티지 가구와 다양한 식물로 꾸며진 공용 카페 공간에서는 다양한 음료와 간식을 이용할 수 있다.
객실 내부는 2인용 퀸 사이즈 침대와 빈티지 가구, 감각적인 디자인의 타일 인테리어가 돋보인다.
고급 어메니티가 준비되어있으며, 조식으로는 수제 오픈 샌드위치를 제공한다.",5,"['제주올레 4코스', '레더한', '태흥포구', '옥돔마을', '남원항 (남원포구)']",10,"['무뚱 식도락 식당', '오끼416갤러리', '간이옥돔역', '흑염소마루', '육값하네식육가든', '마더카페', '여행가게', '토향(음식점)', '뉴남원분식', '동동차이나']",펜션/민박
제주올레돔,서귀포시 > 성산,"#휴식/힐링 #숙소 #바비큐
#역사유적 #해변 #휴양펜션 #펜션 #독채 #수영장 #주차장 #공공와이파이존 #매점",제주특별자치도 서귀포시 성산읍 온평포구로54번길 54,0,1,0,0,"1,096",1,제주 성산일출봉 가까운 감성펜션,,없음,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점",,"상세정보
확장됨

제주올레돔은 제주 동부에 위치한 펜션이다. 밤하늘 별보기 아주 좋은 펜션이며, 6월 25일부터는 수영장도 오픈한다.

그 밖에도
- 성산일출봉에서 12분, 섭지코지 8분, 우도선착장 15분 거리
- 산토리니 감성 돔 형태의 완전한 독채, 전 객실 개별 테라스
- 마음까지 넓어지는 잔디 정원, 수영장 뷰
- 광치기해변, 섭지코지, 빛의벙커, 아쿠아플라넷, 성산일출봉, 표선해비치해변 등과 근접
- 독채라 조용하고 편안하게 힐링 가능

숯불 바베큐로 친구, 연인, 가족과 추억을 만들 수 있는 숯불 바베큐 이벤트도 개최된다.

★ 숯불 바베큐 이벤트 ★
- 숯불 바베큐를 이용하시는 손님들에게 제주산 흑돼지 제공
- 숯불 바베큐 이용금액 : 2인 20,000원
- 1인 추가 or 숯 추가 시 + 5,000원
- 숯불 바베큐 1인당 흑돼지 200g, 쌈장, 소금 제공
- 고기 추가 구매시 400g당 + 10,000원, 숯1회 무료 추가",5,"['혼인지', '미천굴', '농개', '온평리 포구', '온평리 환해장성']",8,"['옛날옛적', '삼대해녀의집', '청호식당', '순덕이네해산물장터', '소라네집', '쫑이네해산물', '로이앤메이', '카페아오오']",펜션/민박
제주올레하우스팬션,제주시 > 구좌,"#숙소 #pension #휴양펜션
#가족 #단체여행객 #수영장 #공공와이파이존",제주특별자치도 제주시 구좌읍 덕행로 450-23,0,0,0,0,"1,265",0,"행원리 자연속에 위치한 펜션 야외 수영장, 바베큐 구비",,,,,"상세정보
확장됨



주변에는 섭지코지, 성산일출봉, 우도, 긴녕미로공원, 만장굴, 선녀와 나무꾼,
김녕해수욕장, 에코랜드 등의 유명한 관광지가 많아 여행하기에 편리하다.
펜션 내에는 정원, 수영장, 바베큐장 등이 마련되어 있다.
특히 넓은 수영장을 가지고 있어 물놀이하기에 좋다.",7,"['만장굴', '월정리해변', '제주김녕미로공원', '해맞이해안로', '제주올레 20코스', '월정리해안도로', '공방:하루_반']",28,"['구좌상회', '슬슬슬로우', '카페콧수염', '월정리에서브런치', '월정리갈비밥', '제주이야기', '모래비카페', '월정리로와', '우드스탁', '머문카페', '소곱에', '바당지기', '그초록', '떡하니', '월리월리', '타코마씸', '배롱개', '수카사', '뵈뵈', '이찌마루', '방긋스낵', '너는파라다이스길리', '봉쉡망고', '만월당', '월정해녀식당', '토끼문', '그계절', '월정리LOWA']",펜션/민박
제주와요펜션,제주시 > 조천,"#휴식 #숙소 #휴양펜션
#펜션 #독채 #해수욕장 #올레길 #바비큐 #정원",제주특별자치도 제주시 조천읍 조천남4길 4,0,0,0,0,"1,192",0,함덕해수욕장 및 올레길 근처에 있는 즐거움이 가득한 숙소,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역",,"상세정보
확장됨




제주공항에서 30분정도 거리에 있으며 함덕해수욕장 및 올레길 19코스 부근에 위치하고 있다.
각각의 객실 스타일이 다른 테마펜션이며, 바베큐시설과 전 객실 Wi-Fi가 구비되어 있다.
주변에 삼양검은모래해변, 에코랜드, 월정리 카페거리 등이 있으며,
제주 동쪽관광지로의 이동이 편리하다.",18,"['닭머르해안길', '서우봉', '조천함덕해안도로', '제주올레 19코스', '연북정', '제주항일기념관', '조천만세동산', '평화통일 불사리탑', '조함해안도로', '조천비석거리', '단산과 방사탑', '함덕잠수함(이고제주)', '천주교 순례길 - 김기량길', '제주잠수함(국제리더스클럽)', '정주항', '김택화미술관', '조천중학원 옛터', '해빛']",34,"['잠녀해녀촌', '냠냠제주', '땅꼬분식 뷔페', '다래향', '망고레이 함덕점', '깡촌흑돼지', '신촌덕인당', '햇살가득돌담집', '바다어사또', '어머니몸국', '유기농커피 카페다', '대성아귀찜', '달마야해물탕', '함덕카페h', '창흥식당', '서우봉가든', '블랙포엠', '저팔계깡통연탄구이', '호끌락다락', '하누가물애', '카페비글', '원더먼트제주', '카페3535.1', '타임스탬프', '보노리미니', '달그락식탁', '그때그집 함덕', '회춘', '해녀김밥 본점', '무거버거', '훈남횟집', '황제궁', '백리향', '다니쉬']",펜션/민박
제주우리집펜션,제주시 > 한경,"#펜션 #숙소 #휴양펜션
#안전인증민박 #민박 #농어촌민박 #공공와이파이존 #조식포함 #갯벌체험학습장 #해변 #해수욕장 #수상레저 #문화관광",제주특별자치도 제주시 한경면 청수동3길 1,0,0,0,0,"1,246",2,"가족처럼 편한 휴식처가 될 수 있는 사랑의 집, 제주 우리집펜션",,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

맑고 깨끗한 물 이라는 뜻으로 이름 붙여진 청수리는 제주시에서 서쪽으로 약 45km에 위치한 중산간마을에 위치하고 있다.
주변에는 분재예술원과 평화박물관, 방림원, 오설록 녹차전시관, 초콜렛박물관, 한림공원, 협재해수욕장, 금능해수욕장 등이 있다.

 ",26,"['환상숲 곶자왈공원', '생각하는정원', '제주유리의성', '제주현대미술관', '저지 예술인 마을', '청수곶자왈', '제주도립김창열미술관', '저지오름(닥몰오름,새오름)', '방림원', '낙천리아홉굿의자마을', '제주평화박물관(전쟁평화박물관)[휴관중]', '문도지오름 (문돗지)', '동산농원 딸기체험장', '가마오름 진지동굴', '가마오름', '환상숲곶자왈 담앙족욕', '제주돌하르방캠핑장', '스위트몽키', '추사 유배길 - 2코스 인연의 길', '마오름(한경)', '문화예술마을 저지리 농어촌체험마을', '청수성결교회', '기독교순례길 3코스(사명의길)', '유리멘탈 스튜디오', '조수리 농어촌체험마을', '낙천아홉굿마을 의자공원']",15,"['양가형제', '뉴저지카페', '명리동식당', '달아래팥', '피자굽는돌하르방', '유람위드북스', '몽생이', '탐라반상', '데미안', '제주돌창고', '로스터리카페 담담', '토향', '쿠싱 샌드위치', '크래커스 한경점', '뚱보아저씨']",펜션/민박
제주유스호스텔,제주시 > 애월,"#부모 #친구 #아이
#맑음 #사계절 #중/장년 #노년 #청년 #휴식/치유 #숙소 #주차장",제주특별자치도 제주시 애월읍 방축길 128,0,1,0,0,"2,095",3,인성교육및 야외 활동을 위한 단체 맞춤형 유스호스텔,연중 무휴,없음,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨

학교 체험 학습이나 기업체 연수, 종교단체 행사, 대학 MT, 운동부 전지 훈련,
각종 청소년 수련활동 프로그램 등 단체 워크샵 및 세미나에 특화된 유스호스텔이다.
아름다운 자연과 편안한 숙소에서 쉼을 누릴 수 있다.",4,"['아르떼뮤지엄', '자리왓', '누운오름(한림읍)', '발이오름']",0,[],리조트/콘도
제주의시간은느리다,제주시 > 구좌,"#숙소 #민박 #농어촌민박
#조식 #주차장 #돌담길 #카페 #게스트하우스",제주특별자치도 제주시 구좌읍 상도로 30-4,0,2,0,0,"1,629",1,천천히가는 제주의 시간,연중무휴,,"공용주차장,화장실,무료 WIFI",,"상세정보
확장됨

천천히 느껴보는 제주, 제주의 시간은 천천히 가다

제주의 시간은 느리다는 이름처럼 한가로운 느낌이 드는 게스트하우스이다. 
이 게스트하우스가 위치한 구좌읍 상도리는 제주에서 흔히 볼 수 있는 전형적인 농촌 마을이다. 

사람이 많이 드나드는 곳이 아니라 조용히 휴식을 취하고 싶은 사람들에게 제격인 숙소이다. 
아름다운 세화 해변이 가깝고 그 주위로 다양한 카페와 음식점을 방문하기 편리하다.

2인실로 구성된 모든 객실에는 더블 침대가 놓여져 있고 방마다 화장실이 있고,
공용 공간인 카페가 있어 다른 게스트들과의 만남 또한 가능하다.




창문 밖으로 보이는 돌담은 지금 제주에서 여행하고 있다는 것을 다시 느낄 수 있는 포인트가 된다.
아침에 눈을 뜨면 따스한 햇살이 비추고 돌담 너머로 보이는 아름다운 풍경이 잠을 깨운다. 
여유로움이 물씬 풍기는 따뜻한 아침은 여행의 새 아침에 활력이 될 것이다.

많은 곳을 보고 경험하는 것도 좋지만, 제주도는 천천히 다니며 여유롭게 둘러볼수록 더 아름다운 곳이기 때문에
아침에 일어나 숙소 주변을 천천히 거니는 것도 좋을 것이다. 
제주의 시간은 느리다에서 분주한 여행 속 여유와 추억을 얻을 수 있을 것이다.",16,"['세화해변', '해녀박물관', '지미봉', '표선세화해안도로', '별방진', '평대리해변', '제주올레 21코스', '세화해안도로', '감수굴 밭담길', '하도리 철새도래지', '맬튼개 갯담', '이로이로공방', '평대리불턱', '굴동포구', '금붕사', '세화소품관']",33,"['명진전복', '카페공작소', '연미정', '비어라운드(Be around)', '얌얌돈까스', '나나이로 아코제주', '미엘드세화', '허벅식당', '말이', '부엌인세화', '에릭스에스프레소 카페', '벨롱', '소라횟집', '세러데이아일랜드', '석다원', '다래향2호점', '춘희', '아톰스낵', '종이비행기', '비자블라썸', '쇼디치카페', '맛좋은디', '풍미독서', '알마니', '청파식당횟집', '제주한잔, 세화', '세평맛집', '도도톳김밥', '카페한라산', '다래향 세화점', '카페 라라라', '르토아 베이스먼트', '카페록록']",게스트하우스
제주잔잔,서귀포시 > 서귀포시내,"#숙소 #민박 #농어촌민박
#조식 #주차장 #공공와이파이존",제주특별자치도 서귀포시 칠십리로485번길 15-17,0,5,0,0,"1,419",2,잔잔한 휴식을 취하다,,,,,"상세정보
확장됨


따뜻한 색감의 독채형 민박

서귀포 보목동의 작은 마을에 위치한 제주잔잔은 총 3개의 객실이 있으며,
원룸과 화장실로 구성된 독채민박형 숙소이다.

현관에서부터 은은하게 퍼지는 레몬그라스의 향을 맡으며
야외에 예쁘게 손질된 정원을 내부의 통유리창을 통해 보거나
야외 테라스에서 여유 있게 앉아 감상할 수 있다.

심플하고 세련된 디자인의 방과 모던한 목재가구들이 눈길을 끌며,
아기자기한 소품들은 제주잔잔의 매력을 더욱 돋보이게 한다.
아침에는 배를 든든히 채워주는 정성 가득한 조식이 준비된다.

근처에는 제주올레 6코스를 따라 정방폭포, 이중섭미술관, 제지기오름 등
제주를 대표하는 다양한 관광명소를 둘러볼 수 있다.",20,"['쇠소깍', '정방폭포', '소천지', '제주올레 6코스', '쇠소깍해변', '쇠소깍제트', '소정방폭포', '자구리공원', '서복전시관', '섶섬(서귀포해양도립공원)', '제지기오름', '왈종미술관', '게우지코지', '거믄여해안경승지', '신효베스트마을', '소남머리', '보목포구', '정모시쉼터', '월라봉(효돈)', '율랜드 다이브센터']",31,"['어진이네횟집', '테라로사', '국수의전설', '하효살롱', '서귀포바당물회', '보목해녀의집', '쇠소깍모꼬지', '이어도전복해물전문점', '제주명가두루치기', '흑한우명품관', '다육이풍경', '자리돔횟집', '아싸횟집', '제주다음', '또또시', '서귀포흑돈', '쇠소깍오메기식당', '섶섬지기', '넘버 138', '신동성식당', '하효소머리국밥', '베지그랑', '성광식당', '쇼밥', '아서원', '팜알로하', '어진이네 횟집', '게우지코지 카페', '보레드베이커스', '차이나마씸', '블랑제리']",펜션/민박
제주아이니,서귀포시 > 남원,"#휴식 #숙소 #주차장
#공공와이파이존 #반려동물보호소 #독채 #민박 #돌담길 #돌집 #수영장",제주특별자치도 제주시 조천읍 조함해안로 76-34,0,0,0,0,"2,242",3,"제주바다가 보이는 오직 한팀만을 위한 독채형 민박, 애견동반가능",,,"공용주차장,현금결제,화장실,무료 WIFI,유도 및 안내시설,경보 및 피난시설",,"상세정보
확장됨


조용하고 탁트인 풍경, 넓은 마당을 가진 독채형 원룸으로
제주 올레 19코스의 시작점에 있으며, 공항에서 차로 30분, 버스로는 45분 소요되는 곳에 위치해 있다.
인근에 마트, 동네빵집, 편의점, 음식점, 함덕해수욕장 등이 인접해 있어 편리하다.

이름에서도 알 수 있지만, 애견 동반 숙박이 가능하다는 점이 코기네의 특징이다.
반려견이 뛰어놀수 있는 너른 잔디 마당과 애견과 함께 할 수 있는 간이 수영장 등을 갖추고 있어
반려동물과 함께하는 여행객들에게 아늑한 보금자리를 제공하고 있다.",23,"['함덕해수욕장', '닭머르해안길', '서우봉', '조천함덕해안도로', '함덕카페거리', '제주올레 19코스', '연북정', '제주항일기념관', '함덕백사장 & 서우봉', '함덕야영장', '조천만세동산', '평화통일 불사리탑', '조함해안도로', '로로 요가', '조천비석거리', '단산과 방사탑', '함덕잠수함(이고제주)', '천주교 순례길 - 김기량길', '제주잠수함(국제리더스클럽)', '정주항', '김택화미술관', '조천중학원 옛터', '해빛']",41,"['델문도', '잠녀해녀촌', '냠냠제주', '곱들락', '땅꼬분식 뷔페', '다래향', '오드랑베이커리', '망고레이 함덕점', '함덕밀면', '깡촌흑돼지', '신촌덕인당', '햇살가득돌담집', '바다어사또', '어멍', '준반점', '어머니몸국', '유기농커피 카페다', '대성아귀찜', '달마야해물탕', '함덕카페h', '창흥식당', '서우봉가든', '블랙포엠', '저팔계깡통연탄구이', '호끌락다락', '하누가물애', '카페비글', '원더먼트제주', '카페3535.1', '타임스탬프', '보노리미니', '달그락식탁', '그때그집 함덕', '회춘', '해녀김밥 본점', '두툼한고기돈돼지', '무거버거', '훈남횟집', '황제궁', '백리향', '다니쉬']",펜션/민박
제주토비스콘도,제주시 > 애월,"#숙소 #휴양콘도 #애월
#한담 #공공와이파이존 #주차장 #일몰명소",제주특별자치도 제주시 애월읍 애월로1길 8,0,1,0,0,"1,078",0,"제주 토비스는 '애월'의 한담해변(패들보드, 서핑, 스쿠버, 카약)에 있는 전통있는 휴양콘도이다. 올래길이나 라이딩코스와 이어져 있고 전지훈련, 수학여행, 기업 연수 등의 편리한 입지조건을 갖추고 있다.",,3성급,"공용주차장,현금결제,카드결제",,"상세정보
확장됨

제주 토비스는 '애월'의 한담해변(패들보드, 서핑, 스쿠버, 카약)에 있는 전통있는 휴양콘도이다.
이 곳은 올래길이나 라이딩코스와 이어져 있고 전지훈련, 수학여행, 기업 연수 등의 편리한 입지조건을 갖추고 있다.",24,"['애월한담해안산책로', '곽지해수욕장', '한담해변', '애월 한담 카약', '제주올레 16코스', '(주)제주해양레저 투명카약', '보통청춘기록실 청춘사진관', '해피맘하우스', '곽지해수욕장야영장', '제주기독교순례길', '문서프', '애월 하물', '애월환해장성', '고내봉(고내오름,고니오름,망오름)', '곽지패총', '기독교순례길 1코스(순종의길)', '고내리포구', '갑자기 히어로즈 벽화길', '애월연대', '귀덕연대', '고내리 다락쉼터', '중엄리새물', '금성포구', '애월스쿠버다이빙스쿨']",53,"['봄날카페', '몽상드애월(몽상)', '리치망고', '애월더선셋', '붉은제주', '고불락', '카페콜라', '지금이순간', '호박다방', 'ROAD129(로드129)', '숙이네보리빵', 'jival 지발', '무인카페 산책', '은혜전복', '카페태희', '곽지식당', '파리바게트 애월', '라스또르따스', '몬스터살롱', '카페하물', '탐라면', '마틸다', '인디언키친', '카페 소바니', '애월리안', '마레벤또', '달에', '백번가든', '귤따고 레드향갈고', '미인계 카페', '곽지BAR다', '하우스레서피', '반딧불한담', '메리앤폴', '로맨틱하드보일드', '쿡이야', '안트레', '산책하우스', '맛있는 여가생활', '귀덕간식', '애월 고깃간', '돌카롱 애월점', '보말보말', '애월빵공장앤카페', '애월그때그집 본점', '피즈', '애월은혜전복', '심바카레', '제레미', '인디안썸머애월', '썬셋클리프', '임순이네', '장인의집']",리조트/콘도
